time,solar
2021-06-01 00:00:00,0.0
2021-06-01 00:05:00,0.0
2021-06-01 00:10:00,0.0
2021-06-01 00:15:00,0.0
2021-06-01 00:20:00,0.0
2021-06-01 00:25:00,0.0
2021-06-01 00:30:00,0.0
2021-06-01 00:35:00,0.0
2021-06-01 00:40:00,0.0
2021-06-01 00:45:00,0.0
2021-06-01 00:50:00,0.0
2021-06-01 00:55:00,0.0
2021-06-01 01:00:00,0.0
2021-06-01 01:05:00,0.0
2021-06-01 01:10:00,0.0
2021-06-01 01:15:00,0.0
2021-06-01 01:20:00,0.0
2021-06-01 01:25:00,0.0
2021-06-01 01:30:00,0.0
2021-06-01 01:35:00,0.0
2021-06-01 01:40:00,0.0
2021-06-01 01:45:00,0.0
2021-06-01 01:50:00,0.0
2021-06-01 01:55:00,0.0
2021-06-01 02:00:00,0.0
2021-06-01 02:05:00,0.0
2021-06-01 02:10:00,0.0
2021-06-01 02:15:00,0.0
2021-06-01 02:20:00,0.0
2021-06-01 02:25:00,0.0
2021-06-01 02:30:00,0.0
2021-06-01 02:35:00,0.0
2021-06-01 02:40:00,0.0
2021-06-01 02:45:00,0.0
2021-06-01 02:50:00,0.0
2021-06-01 02:55:00,0.0
2021-06-01 03:00:00,0.0
2021-06-01 03:05:00,0.0
2021-06-01 03:10:00,0.0
2021-06-01 03:15:00,0.0
2021-06-01 03:20:00,0.0
2021-06-01 03:25:00,0.0
2021-06-01 03:30:00,0.0
2021-06-01 03:35:00,0.0
2021-06-01 03:40:00,0.0
2021-06-01 03:45:00,0.0
2021-06-01 03:50:00,0.0
2021-06-01 03:55:00,0.0
2021-06-01 04:00:00,0.0
2021-06-01 04:05:00,0.0
2021-06-01 04:10:00,0.0
2021-06-01 04:15:00,0.0
2021-06-01 04:20:00,0.0
2021-06-01 04:25:00,0.0
2021-06-01 04:30:00,0.0
2021-06-01 04:35:00,0.0
2021-06-01 04:40:00,0.0
2021-06-01 04:45:00,2.2
2021-06-01 04:50:00,4.0
2021-06-01 04:55:00,6.4
2021-06-01 05:00:00,7.8
2021-06-01 05:05:00,9.4
2021-06-01 05:10:00,11.0
2021-06-01 05:15:00,13.0
2021-06-01 05:20:00,14.8
2021-06-01 05:25:00,17.6
2021-06-01 05:30:00,21.0
2021-06-01 05:35:00,26.8
2021-06-01 05:40:00,45.2
2021-06-01 05:45:00,63.0
2021-06-01 05:50:00,63.6
2021-06-01 05:55:00,71.6
2021-06-01 06:00:00,92.0
2021-06-01 06:05:00,94.4
2021-06-01 06:10:00,128.4
2021-06-01 06:15:00,122.2
2021-06-01 06:20:00,98.4
2021-06-01 06:25:00,94.4
2021-06-01 06:30:00,105.0
2021-06-01 06:35:00,108.0
2021-06-01 06:40:00,114.2
2021-06-01 06:45:00,120.2
2021-06-01 06:50:00,131.2
2021-06-01 06:55:00,141.0
2021-06-01 07:00:00,137.0
2021-06-01 07:05:00,142.0
2021-06-01 07:10:00,149.0
2021-06-01 07:15:00,153.6
2021-06-01 07:20:00,165.8
2021-06-01 07:25:00,174.4
2021-06-01 07:30:00,178.6
2021-06-01 07:35:00,183.6
2021-06-01 07:40:00,191.4
2021-06-01 07:45:00,189.6
2021-06-01 07:50:00,198.2
2021-06-01 07:55:00,209.8
2021-06-01 08:00:00,215.6
2021-06-01 08:05:00,220.8
2021-06-01 08:10:00,234.2
2021-06-01 08:15:00,250.8
2021-06-01 08:20:00,288.2
2021-06-01 08:25:00,304.2
2021-06-01 08:30:00,338.4
2021-06-01 08:35:00,412.0
2021-06-01 08:40:00,466.8
2021-06-01 08:45:00,474.2
2021-06-01 08:50:00,475.2
2021-06-01 08:55:00,493.4
2021-06-01 09:00:00,516.6
2021-06-01 09:05:00,548.2
2021-06-01 09:10:00,546.6
2021-06-01 09:15:00,508.2
2021-06-01 09:20:00,507.0
2021-06-01 09:25:00,560.6
2021-06-01 09:30:00,591.2
2021-06-01 09:35:00,609.4
2021-06-01 09:40:00,596.4
2021-06-01 09:45:00,495.2
2021-06-01 09:50:00,424.8
2021-06-01 09:55:00,544.0
2021-06-01 10:00:00,665.6
2021-06-01 10:05:00,653.6
2021-06-01 10:10:00,646.0
2021-06-01 10:15:00,721.6
2021-06-01 10:20:00,792.8
2021-06-01 10:25:00,801.0
2021-06-01 10:30:00,827.2
2021-06-01 10:35:00,818.2
2021-06-01 10:40:00,819.6
2021-06-01 10:45:00,836.6
2021-06-01 10:50:00,920.2
2021-06-01 10:55:00,849.8
2021-06-01 11:00:00,720.4
2021-06-01 11:05:00,643.2
2021-06-01 11:10:00,580.8
2021-06-01 11:15:00,793.2
2021-06-01 11:20:00,835.8
2021-06-01 11:25:00,620.0
2021-06-01 11:30:00,594.0
2021-06-01 11:35:00,773.4
2021-06-01 11:40:00,758.2
2021-06-01 11:45:00,597.2
2021-06-01 11:50:00,577.8
2021-06-01 11:55:00,661.0
2021-06-01 12:00:00,547.2
2021-06-01 12:05:00,602.4
2021-06-01 12:10:00,639.4
2021-06-01 12:15:00,650.4
2021-06-01 12:20:00,851.8
2021-06-01 12:25:00,931.2
2021-06-01 12:30:00,717.0
2021-06-01 12:35:00,661.0
2021-06-01 12:40:00,537.0
2021-06-01 12:45:00,552.0
2021-06-01 12:50:00,619.8
2021-06-01 12:55:00,585.0
2021-06-01 13:00:00,502.0
2021-06-01 13:05:00,480.4
2021-06-01 13:10:00,503.4
2021-06-01 13:15:00,477.6
2021-06-01 13:20:00,455.8
2021-06-01 13:25:00,517.4
2021-06-01 13:30:00,555.2
